# galactic coordinates #
# l(deg)    b(deg)   m_v #
  216.62  0.0324067  12.4772824
  105.354 -7.15024  5.85026607
  14.162 -15.8536  9.17375256
  53.666  5.13409  8.7361836
  123.511  1.98234  10.6135784
  165.723 -20.2717  7.41227075
  300.422  1.53801  11.3647473
  258.546 -8.06234  6.83324186
  40.743  0.847429  11.6590331
  197.382 -9.53476  9.67381616
  314.165 -8.61049  9.57139788
  205.585  1.39968  13.2664517
  77.253  7.58545  6.39999459
  195.894  2.99449  8.4005342
  91.1265 -9.57645  0.716768837
  273.15 -9.84302  3.67622734
  149.562 -6.12075  11.3136182
  328.908  20.7453  6.73848663
  345.614  24.3325  9.34378943
  358.169 -6.13783  9.11482054
  106.324  5.12469  3.65920385
  278.057  9.02391  6.86545705
  239.805 -4.26948  13.6843732
  203.463  0.0408938  11.436165
  48.6579  4.4776  10.734671
  53.2103  4.55674  10.2731061
  346.207  15.1507  8.11960456
  145.355  6.27765  9.56201741
  63.7451  0.54784  9.67001916
  188.925 -39.0113  8.01934907
  14.4425  2.7815  11.52774
  307.112 -1.00543  11.5787327
  179.709 -7.58979  7.19685383
  236.085  2.71264  13.8540868
  151.228 -3.88141  11.4613233
  41.2876 -7.07405  11.0462299
  73.6992  4.46126  3.78237269
  240.447  9.91863  8.55198263
  13.6397  5.54045  9.15104455
  33.2981  3.12557  11.1574941
  95.8422  5.52933  4.89286747
  289.625  12.9083  6.48495528
  273.203 -0.792465  4.55221405
  50.0217  8.47345  9.36174002
  268.729 -0.541455  0.452491113
  166.743  1.10038  9.22467256
  305.772 -2.51765  10.3686509
  86.571  2.87397  3.24956216
  348.269  4.23567  10.6106241
  230.103 -2.28713  7.84500461
  91.2388 -7.77153  1.07599749
  75.9258  0.945566  8.12545634
  338.677 -0.949429  9.15108362
  250.327 -1.5438  11.9809899
  315.767  0.873782  9.06507313
  244.08 -1.33594  12.7163986
  203.171 -1.15911  11.4474058
  192.814  5.95413  10.3479704
  332.47  3.50358  10.5514828
  158.098  1.72653  13.7953547
  294.426 -0.969858  14.5334284
  158.49 -4.59138  12.0309974
  93.8427  4.04563  6.5672421
  209.373 -2.9256  12.0200462
  15.9354  3.72482  10.3529764
  270.878  1.66626  3.66852954
  248.359  5.50996  6.0032113
  135.433  5.41852  11.9190984
  102.796  54.9449  3.41081616
  65.4126 -2.99607  8.22621752
  108.021  0.0409061  10.1303595
  187.984  4.50161  12.3806381
  88.0959 -5.91168  2.63225787
  60.4407 -1.16627  8.19571824
  74.7758  0.143072  10.7979563
  209.852  24.0855  8.64377641
  160.387 -0.375342  10.785705
  279.608 -4.56562  8.02560403
  106.944 -1.1398  9.79291895
  237.377 -5.1989  11.5486249
  258.266 -4.44359  6.37241632
  4.58479 -3.30397  9.22623526
  273.005 -7.51531  1.99653609
  226.077  21.1285  6.73854899
  189.475  1.64078  14.6638415
  341.807  23.2852  8.94932194
  1.27471 -0.809878  14.405424
  105.198 -4.23347  6.10987014
  271.48 -13.2772  0.77928392
  239.255 -1.8396  14.7500386
  159.929  26.881  6.72447408
  307.676  0.338809  9.78224584
  52.9122 -10.6763  9.50262987
  331.099 -4.66233  10.3292377
  259.971 -5.12871  4.75367925
  107.323  4.35758  10.4599577
  201.583  0.376185  16.0665836
  69.0074  14.5545  6.5052584
  123.468  4.07336  9.05395187
  53.8352 -4.44529  10.2978045
  69.637  0.592641  10.4269501
  57.0259  2.82313  8.53225556
  118.381  1.13815  7.78333682
  262.462 -0.504053  3.11413584
  251.857 -14.5067  7.17088404
  112.687  2.14572  9.3921596
  223.961  1.74485  12.0174502
  105.587  6.78125  6.79271495
  51.6214  0.156346  12.3852594
  251.896  2.62559  7.90770905
  264.38 -49.7474 -0.296312051
  123.633 -2.54762  8.81627018
  142.213 -4.34169  11.03641
  73.8616  0.404208  9.54391093
  193.814 -3.80133  11.3352495
  61.4217 -41.7246  5.82308559
  27.7284  5.11016  10.9151457
  150.342  3.08064  9.90909044
  284.153  8.98547  5.73324101
  73.3089 -5.47413  4.46728362
  348.414  5.60601  8.91470984
  247.268  1.93987  10.816774
  71.4622 -0.111719  11.4368346
  41.3846  2.20389  10.9610995
  233.019  3.01386  10.2457253
  8.17983 -13.6503  7.90975503
  58.1349  15.3871  7.60940936
  23.4696 -4.32191  12.2440175
  271.855 -73.0865 -4.87626311
  172.695 -0.0531336  14.0837812
  50.0419  4.89542  10.70959
  59.2364 -6.54891  8.32838407
  153.205 -28.6804  9.00943695
  190.508 -1.39493  15.1389432
  358.251  3.4902  11.9478339
  16.0607  1.83594  10.1848453
  4.96289 -9.67739  9.51188723
  50.2198  2.75701  9.64108188
  346.802 -47.2614  5.66654465
  205.272 -2.36799  14.9840403
  306.016  14.895  7.4521431
  114.984 -0.596146  11.0440271
  183.791 -33.9403  8.40235561
  19.875  0.537744  10.671414
  130.374 -3.54019  9.82965775
  243.969  17.1234  6.9313921
  122.134  0.439909  10.6529913
  359.541  13.3843  9.2104274
  109.426  3.65532  10.7564678
  259.251  14.1512  6.66763465
  79.9741  15.3632  5.46260105
  332.017 -0.583536  13.1411419
  7.50198 -4.98051  11.1161873
  116.404  3.44519  11.1883784
  60.033  4.11201  11.0786452
  265.859  1.13009  4.03004161
  99.248 -3.09225  6.79773488
  237.827 -1.53252  15.4453789
  121.985 -11.6844  8.50421512
  66.1012  1.22162  6.62091466
  153.19 -35.9642  7.46522032
  303.071  12.6903  7.07040513
  333.574  9.8441  9.84521828
  337.698 -0.840137  12.7612184
  204.896 -11.5097  18.6801414
  114.668  9.23404  8.00142131
  59.2943  6.60695  9.92681774
  28.8932 -11.9529  9.89774154
  5.24633  1.39441  11.3705863
  266.891  16.2631  1.81534375
  346.654  26.3711  7.50885615
  256.332  0.574377  7.84948582
  172.328  0.637477  11.3767482
  280.899 -6.23773  7.23413429
  37.6039 -2.49864  9.13398309
  301.286  5.62943  7.27342083
  172.845 -9.58847  10.902081
  72.903  2.78584  6.18432248
  275.035 -2.91756  3.53281562
  18.8315 -8.5025  9.26088984
  215.984 -1.41771  12.7209425
  250.676 -12.292  6.34903321
  249.814 -49.6965  1.96653137
  33.3747  0.809024  11.4441726
  167.097 -0.771573  11.281751
  253.655  0.129137  9.06066225
  150.12  3.34921  11.4633858
  171.207 -1.15956  12.4582967
  157.216 -2.96409  12.0631829
  313.785  5.0832  10.69648
  20.4679 -30.5413  6.95723812
  107.724 -7.78766  5.01245078
  165.738 -1.55559  10.5552938
  359.771  12.755  9.96719341
  329.099 -6.89354  9.1693817
  281.068  8.58088  5.87548473
  164.24 -1.07391  10.1533077
  296.105  1.22714  7.65024494
  352.204 -6.29098  6.6086406
  124.383 -1.68182  11.0142129
  234.167 -4.27271  8.93910893
  237.128  0.497016  12.8653916
  164.508  0.291862  8.75715618
  319.498  3.43976  9.30841576
  182.39 -1.56378  13.8848296
  342.127  0.604752  12.7137639
  179.511 -1.60742  14.2854437
  118.994  3.86426  12.6928455
  154.577 -9.23811  8.128924
  143.28 -6.04404  9.73377869
  2.83134 -3.21075  10.7143234
  302.3  4.32697  9.19819029
  282.048 -1.66495  14.7136035
  303.037 -20.787  7.21818352
  133.23  0.204053  16.6603764
  185.86  8.2922  6.55125256
  291.727 -3.05637  7.07626706
  161.906 -5.66835  10.4777829
  46.099 -11.7703  6.95099667
  60.8756 -3.38728  10.7022057
  356.239 -0.350635  12.5751358
  340.65  2.07083  10.0313766
  256.048 -2.02868  8.54409887
  20.0683 -3.74079  10.584787
  62.5441 -15.1771  8.16650095
  287.396  2.07808  8.22082671
  54.3074  5.50262  8.95054761
  98.196 -3.85462  5.16119497
  355.213  4.31366  8.02697626
  129.099 -1.89394  7.6300518
  134.615  1.31969  17.4629323
  308.045 -29.7885  9.51335124
  67.6268 -0.187497  9.07969364
  25.9925  5.61979  9.48011365
  242.845  2.19078  9.97620942
  256.884 -2.17628  7.45046089
  47.9535 -6.10247  7.40393291
  19.4185  4.18163  11.200275
  178.151 -3.0774  10.7730877
  54.1391 -17.6143  7.88900613
  201.627  2.06801  16.2033543
  4.52848  3.0452  11.8676173
  56.3231  7.51124  8.97801243
  98.2322  10.4154  5.75974274
  224.565 -5.01903  10.5453569
  298.777 -0.488809  13.3497978
  110.564  9.83397  7.20280005
  236.866 -3.77195  14.7595166
  184.429  0.69774  12.3260182
  339.391 -1.03306  11.0774189
  327.607 -0.980299  10.4581994
  208.933  5.19571  7.64755695
  307.37  5.97461  8.80952532
  166.933 -0.316672  11.1110363
  70.4513  4.6623  8.56577227
  106.865  4.7668  13.6896046
  80.9712  4.98104  5.35361381
  167.674  1.16427  9.39123684
  355.872  8.24872  10.9329528
  179.744  1.74197  9.38773947
  162.104 -7.75402  11.4442106
  92.9511 -3.33703  4.28049707
  240.565  4.12869  8.93974781
  107.547 -2.98346  9.06072863
  120.666 -0.728077  12.4201095
  145.13 -1.23697  12.4985364
  146.497  11.3635  9.93761072
  287.679 -4.09653  6.44214942
  179.992 -1.01518  13.4913789
  232.16  2.63744  11.9608786
  212.48 -3.17007  11.121099
  189.153 -1.27119  15.8376624
  49.5707  14.0052  7.2865469
  287.129 -0.397643  10.5262848
  40.2771  1.02883  11.8679637
  239.206  9.10824  4.79541308
  353.555  9.78029  10.3285531
  266.246  0.231332  4.05389803
  183.782  4.33738  11.7146115
  149.548 -12.7179  6.01887822
  145.485  36.3984  6.36535213
  335.877 -3.85324  11.3835828
  274.214  1.31156  7.0232085
  208.233  20.8566  6.42648625
  169.634  4.46324  9.38518657
  162.642  2.64542  11.2344812
  129.578 -4.08071  9.09482909
  264.72  12.3218  4.87210661
  106.138  4.05312  9.68745526
  245.502 -0.186134  14.2635553
  234.679  1.37271  18.8526401
  260.828  3.66754  4.85627088
  311.631 -6.93894  9.62643706
  250.08 -1.7794  9.60775083
  82.952  1.07141  8.76443475
  112.265  1.13951  13.7340992
  317.546  2.33487  11.8462122
  348.097  0.666969  10.5047645
  30.0865 -0.393424  13.5923088
  146.541 -1.87536  13.1128448
  217.882 -2.94671  10.6003284
  287.287  2.07734  9.4750205
  24.6069 -8.68729  8.06787552
  261.074 -1.04127  7.26111362
  18.5442  0.757538  11.5496818
  57.7205 -4.35464  9.60952069
  38.4099  11.7344  8.05448478
  253.105  4.36701  6.84960917
  125.904 -1.30384  11.8253016
  89.4752  2.03975  3.71987934
  279.09  0.817058  4.74848552
  323.661  13.1326  5.1072332
  178.65  0.0910046  10.7376253
  137.683 -2.14376  10.8909114
  254.396  0.96638  4.98708034
  283.96  6.20816  6.05227814
  271.174  15.6772  1.36122455
  13.5099 -8.22269  9.57856532
  89.3859  0.0125419  2.54297937
  316.419 -8.89128  8.07800114
  223.844 -0.486433  13.4297673
  149.606 -5.50539  10.4775416
  251.478 -1.04941  6.35073211
  343.078  0.459434  9.54745227
  213.671 -23.9236  6.47794945
  199.116  0.564719  12.4642517
  85.09  2.56367  3.67140404
  106.672 -0.0337228  8.83135776
  353.84  0.516186  15.597072
  34.0801  4.43572  9.31671515
  132.397 -11.4565  6.62340136
  96.1356  2.50246  6.21763262
  80.3867 -3.26333  9.64679704
  168.257  1.25151  10.7166771
  32.9146  0.970403  9.20418248
  208.819  7.02008  9.11351017
  239.68 -26.8081  6.15972752
  226.173 -0.834275  15.7900717
  193.05 -1.53244  13.4711542
  342.22 -3.92663  9.31973281
  314.565  1.77518  9.2103322
  113.665 -3.08269  8.64171364
  120.625 -35.2575  5.97617318
  107.274 -7.55556  7.58164954
  304.695 -6.4231  7.0292331
  301.397 -55.3668  4.42947863
  221.007 -5.95386  7.98800525
  186.375  16.1767  5.47425276
  94.5768 -1.6557  8.06552219
  237.161  18.9913  7.49606022
  232.883 -1.92959  11.8933038
  7.01453 -1.49692  12.0080263
  266.891 -2.04752  1.47947393
  95.2639 -9.9521  5.22675083
  13.0341 -9.78789  9.73823283
  243.347 -17.909  6.60182561
  147.689  1.68484  11.5196735
  313.633  1.30018  14.2282047
  98.6603  67.0395 -5.42817958
  235.712 -8.49062  7.43142923
  45.5055 -4.5272  10.119195
  320.123 -0.256985  11.6328786
  98.3354  3.32027  4.34597026
  25.1502 -1.79958  9.38407872
  189.611 -19.656  13.7338612
  56.294 -0.374219  9.50660289
  260.131  7.66964  5.78927906
  259.592 -11.254  5.34214884
  44.786  1.74838  11.6328527
  183.416 -1.04614  13.5608542
  341.892  4.85879  9.81880439
  328.394  4.00918  10.9983266
  332.347 -0.754305  11.9900919
  215.839  12.3755  9.59208558
  167.093 -1.85323  13.2464675
  236.193  13.4464  7.38558677
  245.306 -5.27055  9.93530076
  111.79 -15.2196  6.58199004
  82.3467  1.38207  7.56289926
  78.5012 -2.68635  7.19812209
  256.542 -2.76386  8.93785916
  71.7444 -0.728242  10.0633922
  206.458  0.68115  11.473622
  242.188  1.42963  9.52362716
  94.7027  6.30668  4.19468232
  110.36  0.620597  11.0308314
  277.583  1.77643  6.35001246
  236.11  11.2189  3.2939587
  150.515  10.7728  11.6238438
  114.112  8.42201  8.45782244
  44.1996 -11.5478  9.30271313
  217.969 -6.88249  9.50805068
  244.217  9.86044  8.92262572
  170.834 -1.00272  12.6781453
  88.5579 -0.128045  2.06202986
  40.7585 -2.31321  11.4232684
  83.074 -0.946111  7.39568947
  308.294  8.58842  8.46180697
  9.05186  0.0334116  9.04845868
  120.387 -7.96991  9.55955303
  319.485  9.33191  8.16043307
  182.442  0.977503  12.8951625
  327.706  9.38905  9.15237125
  189.827 -0.463867  17.862028
  3.45499  3.27143  12.3397885
  159.126 -12.553  19.7253623
  86.3608 -0.557695  5.78509082
  167.413 -1.17171  9.84788863
  303.898 -0.0543868  13.0214645
  171.012 -3.87493  11.318373
  250.202 -3.50868  8.04243556
  331.807 -1.3467  12.4132177
  163.41  2.71886  10.1411252
  248.567  7.7952  7.17609441
  178.961  4.51655  11.5717113
  214.644 -4.88778  11.1355678
  33.2727 -3.15074  11.4764074
  227.169  0.124523  11.5200241
  91.4225  0.0861512  0.630886998
  194.196  3.61867  9.98743001
  186.559 -6.2308  8.85211598
  254.83 -13.3562  6.61207867
  148.579 -0.0361773  16.4802989
  248.482  1.38135  11.1643188
  278.141 -1.61943  8.32802376
  208.232  2.80802  11.5303174
  338.612  3.5347  9.88484929
  273.741 -0.577443  5.72310223
  277.295 -0.323405  8.54238737
  314.193 -4.28756  11.2262219
  99.7179 -5.3382  6.57886546
  41.0773  0.723823  12.1366595
  246.506 -3.67609  9.60860208
  241.899  0.209608  8.77237937
  252.751  22.1821  4.21418794
  45.0851 -0.364537  8.84441185
  197.931  2.21879  11.5791744
  310.284  1.07199  13.5775548
  349.72 -21.9178  9.13838953
  82.1148 -11.9674  3.68258868
  103.865 -19.38  2.13850357
  54.6152  0.041803  11.3111989
  241.284  1.46862  10.5650579
  172.7 -7.73194  11.110576
  207.974 -0.89112  11.9771964
  301.018 -8.96149  9.80845561
  134.938 -64.5657  2.23889825
  106.591  5.7125  9.48030141
  78.2803 -5.28153  7.1583511
  31.1185 -3.34873  8.37707482
  95.5805 -0.855873  5.87872962
  102.562  4.20829  7.28385867
  122.656  2.4324  11.0389472
  145.989 -0.874282  15.1687929
  193.929  0.628084  10.7081851
  226.605  22.9238  7.76844983
  14.6011  0.152103  10.4768855
  53.7136 -2.67036  10.6678053
  230.225 -0.27864  11.5620435
  207.487  2.76365  10.3053158
  342.409  2.35404  12.0917064
  267.958  4.48802  4.10525847
  184.205 -10.495  9.00160137
  275.411 -2.27348  5.26467484
  231.616  8.47543  9.45247575
  293.161  9.36064  7.01461646
  143.701  5.8372  9.76686957
  104.742 -18.5007  4.12044874
  134.816 -2.44678  9.00642882
  179.377 -3.07558  12.1988583
  53.6898  1.1477  11.2836981
  296.532 -0.229909  8.01208275
  348.392 -2.13627  8.55126923
  232.394 -1.13927  15.6788766
  343.659 -2.45543  9.54114413
  171.55 -13.1174  13.9606222
  142.761 -0.154393  14.9574442
  190.551 -32.7118  7.78356175
  48.6764  0.300045  13.0043961
  351.677 -6.43868  11.1863028
  294.067 -8.11295  8.21995678
  176.012 -1.70781  11.5097243
  287.605  3.33051  6.79912201
  242.604  0.572488  10.2323762
  355.449 -0.0493691  12.0109818
  90.4216  4.25073 -1.10722361
  34.1781 -0.217819  12.2201622
  199.993 -2.30117  10.0369348
  171.431 -0.629197  11.8500514
  311.817 -7.64946  8.22194808
  20.398 -1.21406  12.2382447
  33.1049 -10.1803  9.3792962
  69.4951  7.60709  6.38385812
  5.64159 -4.27611  9.62205069
  276.459  7.16433  4.93924682
  56.9722 -5.18295  9.45625705
  175.381  4.18354  11.8968901
  299.671  1.36122  11.3663768
  121.54 -1.75693  9.01094393
  324.461 -3.06509  11.4686123
  24.857 -0.245437  12.0280892
  196.666 -6.06041  10.0744635
  144.16  2.32669  11.0925977
  119.044 -1.36296  11.1131956
  106.267  0.130365  10.4369458
  130.555  7.12276  10.6431179
  189.111 -3.42754  9.99604139
  334.616 -1.78747  12.1403157
  114.433 -1.56697  1.36946194
  58.5321 -3.50954  9.04685372
  326.701 -5.80114  10.0065549
  182.879  1.11067  13.2003128
  183.027  3.81828  10.0178186
  20.618  0.053985  9.34534703
  264.362 -0.976011  3.99179215
  107.641 -6.70061  6.5340705
  60.5667 -0.981867  11.1921537
  318.854  8.61596  9.591151
  259.643 -5.92305  5.66546531
  315.603  2.30788  11.501614
  91.2911 -1.38169  1.47842282
  191.237  0.121649  15.9754926
  295.29  0.567101  8.2854739
  209.384  2.95096  12.9798917
  60.2777  3.35477  9.28934665
  206.6 -0.408867  9.77296952
  93.6458 -2.27617  4.01858164
  86.3166 -0.615923  5.24267892
  209.926  4.68822  8.84108451
  46.64  0.773697  11.3634176
  135.313  0.631054  14.9093329
  330.006 -2.75294  9.69423759
  277.826 -0.509238  1.68835881
  355.236  2.43306  11.2513467
  131.955  25.4727  7.58286213
  7.43237 -16.659  9.75447264
  15.2666 -15.0796  9.36873368
  40.5166 -4.51681  10.5376544
  280.799 -2.29142  15.2015382
  176.784  3.14293  10.1146112
  333.003  1.58498  11.5094145
  314.854 -7.42076  11.3174683
  217.432 -2.04805  14.2983735
  239.682  4.62373  7.46880491
  37.1651  1.77363  11.6219584
  39.4738 -2.09109  12.5787287
  245.969  0.473481  10.4649079
  255.248 -3.58046  9.02347999
  95.7735  4.52844  1.36679821
  110.429 -4.94013  8.50445107
  256.973 -1.54867  6.03860148
  9.83093 -9.22507  7.68010225
  344.709 -1.00092  8.35285732
  140.734 -28.9046  7.68967665
  284.238 -3.33099  6.32809828
  75.048  0.747039  7.12798584
  289.006 -7.01257  5.26049291
  272.002  5.77833  4.12956441
  87.466 -9.3438  3.97036857
  55.9962 -14.5079  7.60359264
  174.546 -4.33493  7.2372385
  197.906 -0.0714749  12.3072256
  99.6858  6.28656  5.54462575
  233.996  23.7011  5.21159045
  115.155  6.41094  10.5779208
  14.7218 -6.32693  8.1853465
  13.3366 -1.42591  12.9038319
  116.459 -0.413793  9.93551488
  241.586  14.1122  7.2529862
  342.888 -8.88906  9.41422877
  172.233  1.62088  12.1582059
  81.3005  0.0171925  7.99025901
  321.983  14.4282  8.02047237
  238.421 -8.9655  7.89744056
  136.561 -4.79066  6.67287355
  144.442 -0.897053  14.4069357
  171.91  5.36733  8.07738592
